"URL A","URL B","Similarity","Class"
"/himchystka-avto-cherkasy","/himchystka-krisel-cherkasy","4.0%","OK"
"/prybyrannya-komertsiynykh-prymishchen-cherkasy","/prybyrannya-ofisiv-cherkasy","4.0%","OK"
"/prybyrannya-komertsiynykh-prymishchen-cherkasy","/prybyrannya-vyrobnychykh-prymishchen-cherkasy","4.0%","OK"
"/generalne-prybyrannya-cherkasy","/himchystka-avto-cherkasy","3.9%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/himchystka-matratsa-cherkasy","3.9%","OK"
"/prybyrannya-pislya-pozhezhi-cherkasy","/himchystka-mebliv-cherkasy","3.9%","OK"
"/prybyrannya-kvartyr-cherkasy","/himchystka-kylymiv-cherkasy","3.8%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/himchystka-dyvana-cherkasy","3.8%","OK"
"/prybyrannya-budynkiv-cherkasy","/himchystka-stiltsiv-cherkasy","3.8%","OK"
"/prybyrannya-kvartyr-cherkasy","/myttya-plytky-cherkasy","3.7%","OK"
"/prybyrannya-pislya-pozhezhi-cherkasy","/himchystka-krisel-cherkasy","3.7%","OK"
"/himchystka-matratsa-cherkasy","/himchystka-krisel-cherkasy","3.7%","OK"
"/prybyrannya-ofisiv-cherkasy","/prybyrannya-medychnykh-tsentriv-cherkasy","3.7%","OK"
"/prybyrannya-vyrobnychykh-prymishchen-cherkasy","/prybyrannya-skladiv-cherkasy","3.7%","OK"
"/himchystka-kylymiv-cherkasy","/himchystka-krisel-cherkasy","3.7%","OK"
"/prybyrannya-kvartyr-cherkasy","/prybyrannya-pislya-pozhezhi-cherkasy","3.6%","OK"
"/generalne-prybyrannya-cherkasy","/himchystka-mebliv-cherkasy","3.6%","OK"
"/generalne-prybyrannya-kvartyry-cherkasy","/himchystka-mebliv-cherkasy","3.6%","OK"
"/himchystka-mebliv-cherkasy","/myttya-vikon-cherkasy","3.6%","OK"
"/himchystka-mebliv-cherkasy","/myttya-plytky-cherkasy","3.6%","OK"
"/prybyrannya-ofisiv-cherkasy","/rehulyarne-prybyrannya-biznesu-cherkasy","3.6%","OK"
"/prybyrannya-mahazyniv-supermarketiv-cherkasy","/prybyrannya-skladiv-cherkasy","3.6%","OK"
"/prybyrannya-restoraniv-kafe-cherkasy","/prybyrannya-skladiv-cherkasy","3.6%","OK"
"/prybyrannya-skladiv-cherkasy","/prybyrannya-medychnykh-tsentriv-cherkasy","3.6%","OK"
"/himchystka-kylymiv-cherkasy","/himchystka-stiltsiv-cherkasy","3.6%","OK"
"/prybyrannya-kvartyr-cherkasy","/myttya-fasadiv-cherkasy","3.5%","OK"
"/rehulyarne-prybyrannya-biznesu-cherkasy","/prybyrannya-restoraniv-kafe-cherkasy","3.5%","OK"
"/prybyrannya-mahazyniv-supermarketiv-cherkasy","/prybyrannya-medychnykh-tsentriv-cherkasy","3.5%","OK"
"/prybyrannya-kvartyr-cherkasy","/himchystka-dyvana-cherkasy","3.4%","OK"
"/prybyrannya-kvartyr-cherkasy","/himchystka-matratsa-cherkasy","3.4%","OK"
"/prybyrannya-kvartyr-cherkasy","/dezinfektsiya-prymishchen-cherkasy","3.4%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/himchystka-avto-cherkasy","3.4%","OK"
"/himchystka-mebliv-cherkasy","/myttya-fasadiv-cherkasy","3.4%","OK"
"/prybyrannya-ofisiv-cherkasy","/prybyrannya-skladiv-cherkasy","3.4%","OK"
